item_id,status,classification,rationale,summary,source_references,last_touched,current_owner
"V1U-RUN-006","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Add command-level runtime-path matrix.","README.md, docs/VM_INTERPRETER_PARITY_MATRIX.md, src/main.rs, src/parser.rs, tests/vm_interpreter_parity_surfaces.rs","2026-05-20","runtime-parity"
"V1U-DOC-001","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Replace or fully refresh stale `docs/ARCHITECTURE.md`.","docs/ARCHITECTURE.md, README.md, docs/LANGUAGE_SPEC.md","2026-05-20","docs-owner"
"V1U-DOC-002","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Align maturity/boundary wording across top-level docs.","README.md, docs/V1_SCOPE.md, docs/LANGUAGE_SPEC.md, docs/RUFF_FEATURE_INVENTORY.md, docs/UNFINISHED_AND_MVP_AUDIT.md","2026-05-20","docs-owner"
"V1U-DOC-003","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Review `docs/STANDARD_LIBRARY_REFERENCE.md` experimental labels for v1 contract clarity.","docs/STANDARD_LIBRARY_REFERENCE.md, docs/V1_SCOPE.md, docs/STANDARD_LIBRARY.md","2026-05-16","docs-owner"
"V1U-DOC-004","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Add/refresh docs contract tests for high-risk consistency surfaces.","tests/readme_contracts.rs, tests/language_spec_contracts.rs, tests/release_process_docs_contract.rs, tests/v1_scope_docs_alignment.rs","2026-05-20","docs-owner"
"V1U-DG-001","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Execute `DG-NEXT-001` parser-assisted Ruff extraction fallback prototype.","ROADMAP.md, docs/DOCGEN.md, tests/docgen_universal.rs","2026-05-20","docgen-owner"
"V1U-DG-002","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Execute `DG-NEXT-002` cross-language adapter conformance expansion.","ROADMAP.md, docs/DOCGEN.md, tests/docgen_universal.rs","2026-05-20","docgen-owner"
"V1U-DG-003","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Execute `DG-NEXT-003` external-repo strict-gate baseline refresh cadence.","ROADMAP.md, docs/DOCGEN.md, tests/docgen_universal.rs","2026-05-20","docgen-owner"
"V1U-CODE-001","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Audit `TODO/FIXME/HACK` debt in production paths and classify risk.","src/interpreter.rs, src/vm.rs, src/compiler.rs, src/builtins.rs, docs/V1_SCOPE.md","2026-05-16","runtime-owner"
"V1U-CODE-002","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Resolve or explicitly defer high-risk TODOs in runtime execution paths.","src/interpreter.rs, src/vm.rs, src/compiler.rs, src/builtins.rs, docs/V1_SCOPE.md","2026-05-16","runtime-owner"
"V1U-CODE-003","unchecked","v1-should-fix","High-value pre-v1 clarity or quality item that should be completed before release unless explicitly deferred with rationale.","Verify optional typing non-enforcement boundaries remain intentional and well-isolated.","src/interpreter.rs, src/vm.rs, src/compiler.rs, src/builtins.rs, docs/V1_SCOPE.md","2026-05-16","runtime-owner"
"V1U-FINAL-001","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Run final full gate bundle and archive evidence.","docs/RELEASE_PROCESS.md, docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, scripts/release_candidate_gate.sh, scripts/release_gate.sh","2026-05-17","release-owner"
"V1U-FINAL-002","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Perform release dry run from a clean tree.","docs/RELEASE_PROCESS.md, docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, scripts/release_candidate_gate.sh, scripts/release_gate.sh","2026-05-17","release-owner"
"V1U-FINAL-003","unchecked","v1-blocker","Directly required to produce deterministic release behavior, runtime parity confidence, or final v1 release evidence.","Complete tag-time artifact checklist.","docs/RELEASE_PROCESS.md, docs/RELEASE_ARTIFACT_CHECKLIST_V1_0_0.md, scripts/release_candidate_gate.sh, scripts/release_gate.sh","2026-05-17","release-owner"
