id,file,line,marker,summary,severity,owner,target_release_bucket,scope,rationale
V1TODO-015,src/interpreter/legacy_full.rs,10147,TODO,                            // TODO: Combine transformers,low,interpreter-owner,post-v1,production,legacy interpreter mirror backlog; keep aligned with primary runtime
V1TODO-016,src/interpreter/legacy_full.rs,10508,TODO,                                            // For now; just return None (TODO: could recursively call),low,interpreter-owner,post-v1,production,legacy interpreter mirror backlog; keep aligned with primary runtime
V1TODO-017,src/interpreter/legacy_full.rs,9237,TODO,                                // TODO: Implement proper blocking receive,low,interpreter-owner,post-v1,production,legacy interpreter mirror backlog; keep aligned with primary runtime
V1TODO-018,src/jit.rs,148,TODO,    #[allow(dead_code)] // TODO: Will be used when variable hashing is implemented,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-019,src/jit.rs,250,TODO,#[allow(dead_code)] // TODO: Integrate into VM execution loop for automatic profiling,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-020,src/jit.rs,2675,TODO,    /// TODO: Future optimization - keep frequently used variables in registers,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-021,src/jit.rs,312,TODO,#[allow(dead_code)] // TODO: Used in adaptive recompilation decisions,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-022,src/jit.rs,323,TODO,#[allow(dead_code)] // TODO: Integrate into VM hot path detection,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-023,src/jit.rs,3899,TODO,                // TODO: Implement proper tail-call optimization or save/restore slots,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-024,src/jit.rs,7838,TODO,    /// TODO: Integrate into VM execution loop for automatic profiling,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-025,src/jit.rs,7855,TODO,    /// TODO: Call from JIT-compiled code guard checks,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-026,src/jit.rs,7864,TODO,    /// TODO: Call from JIT-compiled code when guard checks fail,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-027,src/jit.rs,7882,TODO,    /// TODO: Use for adaptive recompilation decisions,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-028,src/jit.rs,88,TODO,    #[allow(dead_code)] // TODO: Will be used when JIT fully integrated into VM loop,low,jit-owner,post-v1,production,experimental JIT backlog outside default release-critical runtime path
V1TODO-029,src/type_checker.rs,2027,TODO,                // TODO: Implement proper type checking for destructuring patterns,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-030,src/type_checker.rs,2255,TODO,                // TODO: When module system is implemented; verify module exists,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-031,src/type_checker.rs,2485,TODO,                None // TODO: Return struct type when struct types are implemented,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-032,src/type_checker.rs,2491,TODO,                None // TODO: Look up field type from struct definition,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-033,src/type_checker.rs,2507,TODO,                None // TODO: Return Array<T> type when generic types are implemented,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-034,src/type_checker.rs,2524,TODO,                None // TODO: Return Dict<K; V> type when generic types are implemented,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-035,src/type_checker.rs,2531,TODO,                None // TODO: Return element type based on container type,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-036,src/type_checker.rs,2628,TODO,                // TODO: Implement method type inference,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-037,src/type_checker.rs,2641,TODO,                // TODO: If we know it's a Promise<T>; return T,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
V1TODO-038,src/type_checker.rs,2664,TODO,    /// TODO: This will be used when adding "Did you mean?" suggestions to interpreter,medium,typing-owner,post-v1,production,optional typing/type-inference backlog outside runtime enforcement path
